"@title","Deutsch"
"@language","de-DE"
"@scale","auto"
"@appli","100 - Do not change"
"@version","2.17 - Do not change"
"@author","Tobias Moebert"
"#00000","Besetzt..."
"#00001","Ablegen"
"#00002","Los geht's!"
"#00003","Ich hab Hunger"
"#00004","Nicht genug"
"#00005","Verwundet"
"#00006","Segel setzen!"
"#00007","Oh!"
"#00008","Fertig!"
"#00009","Keine Kabine..."
"#00010","Das war's noch nicht"
"#00011","Nochmal"
"#00012","Hmm"
"#00013","Hmm..."
"#00014","Ha!"
"#00015","Ich hab's!"
"#00016","Got me..."
"#00017","Down..."
"#00018","Ho ho ho"
"#00019","Belohnung"
"#00020","Gute Arbeit!"
"#00021","Ich bin besiegt"
"#00022","Hallöchen!"
"#00023","Autsch..."
"#00024","Voller Stop..."
"#00025","Angekommen!"
"#00026","Ausdauer wiederhergestellt!"
"#00027","#"
"#00028","Nicht genug Geld"
"#00029","Nicht genügend Vorräte"
"#00030","Willkommen!"
"#00031","=#00027"
"#00032","Heavy..."
"#00033","Gut Arbeit"
"#00034","Vielen Dank!"
"#00035","Großartig!"
"#00036","=#00030"
"#00037","How can I help you?"
"#00038","No money"
"#00039","No resources"
"#00040","Volle Brig..."
"#00041","Ein Feind!"
"#00042","=#00002"
"#00043","Vorräte auffüllen ♪"
"#00044","Puh..."
"#00045","That was hard"
"#00046","Schiffserweiterung"
"#00047","Inselerweiterung"
"#00048","Easy to get"
"#00049","Heavy equipment"
"#00050","Heavy weapon"
"#00051","Heavy armor"
"#00052","Auf geht’s!"
"#00053","No path..."
"#00054","It's full..."
"#00055","Ein Monster!"
"#00056","Unheimlich..."
"#00057","I'm leaving..."
"#00058","Ich versuch's!"
"#00059","Juhu!"
"#00060","Plitsch, platsch"
"#00061","Hee hee!"
"#00062","Let's dance!"
"#00063","Bam, bam"
"#00064","Slice & dice!"
"#00065","Fire!"
"#00066","Hit!"
"#00067","Dot, dash..."
"#00068","Dash, dot..."
"#00069","Big game"
"#00070","La la la ♪"
"#00071","Treasure"
"#00072","Gulp!"
"#00073","Yum!"
"#00074","Aaah!"
"#00075","Wachse!"
"#00076","Aww!"
"#00077","Cute"
"#00078","I know, right?"
"#00079","Ahem!"
"#00080","Wow!"
"#00081","Beautiful"
"#00082","Please"
"#00083","Pretty"
"#00084","Cleaning ♪"
"#00085","..."
"#00086","Bright"
"#00087","Good choice"
"#00088","Normal C."
"#00089","Defeat 1200 Blobbins!"
"#00090","Defeat 200 Metaboks!"
"#00091","Defeat 400 Dropplets!"
"#00092","Defeat 200 Sassas!"
"#00093","Defeat 100 Drazillas!"
"#00094","Defeat 100 Spikeons!"
"#00095","Defeat 600 Thanatoses!"
"#00096","Defeat 400 Firajes!"
"#00097","Defeat 100 Reddras!"
"#00098","Defeat 600 Sneaks!"
"#00099","Defeat 200 Shelbies!"
"#00100","Defeat 400 Pyons!"
"#00101","Defeat 800 Moeyamas!"
"#00102","Defeat 7500 Mandragoras!"
"#00103","Defeat 100 Wizzles!"
"#00104","Defeat 800 Greedras!"
"#00105","Defeat 1200 Dark Sparklers!"
"#00106","Defeat 300 Blinkos!"
"#00107","Defeat 600 Jellios!"
"#00108","Defeat 200 Stingers!"
"#00109","Defeat 400 Snackles!"
